
--- START Sum: 0.0000000000---
Sum : 12.0419296622 | Diff: -0.0166977048
Sum : 12.0371202826 | Diff: -0.0048093796
Sum : 12.0308222771 | Diff: -0.0062980056
Sum : 12.0261894464 | Diff: -0.0046328306
Sum : 12.0198394656 | Diff: -0.0063499808
Sum : 12.0148277879 | Diff: -0.0050116777
Sum : 12.0094997287 | Diff: -0.0053280592
Sum : 12.0036678910 | Diff: -0.0058318377
Sum : 11.9936047196 | Diff: -0.0100631714
Sum : 11.9891144037 | Diff: -0.0044903159
Sum : 11.9822282195 | Diff: -0.0068861842
Sum : 11.9784703255 | Diff: -0.0037578940
Sum : 11.9727329016 | Diff: -0.0057374239
Sum : 11.9681075215 | Diff: -0.0046253800
Sum : 11.9634479284 | Diff: -0.0046595931
Sum : 11.9584909678 | Diff: -0.0049569607
Sum : 11.9553094506 | Diff: -0.0031815171
Sum : 11.9518313408 | Diff: -0.0034781098
Sum : 11.9472062588 | Diff: -0.0046250820
Sum : 11.9442971349 | Diff: -0.0029091239
Sum : 11.9409201741 | Diff: -0.0033769608
Sum : 11.9366452098 | Diff: -0.0042749643
Sum : 11.9366452098 | Diff: 0.0000000000
Sum : 11.9340485930 | Diff: -0.0025966167
Sum : 11.9305608273 | Diff: -0.0034877658
Sum : 11.9277182221 | Diff: -0.0028426051
Sum : 11.9244830608 | Diff: -0.0032351613
Sum : 11.9132066369 | Diff: -0.0112764239
Sum : 11.9096795917 | Diff: -0.0035270452
Sum : 11.9069064856 | Diff: -0.0027731061
Sum : 11.9044846892 | Diff: -0.0024217963
Sum : 11.9006564617 | Diff: -0.0038282275
Sum : 11.8969480395 | Diff: -0.0037084222
Sum : 11.8896100521 | Diff: -0.0073379874
Sum : 11.8865638971 | Diff: -0.0030461550
Sum : 11.8793561459 | Diff: -0.0072077513
Sum : 11.8763034940 | Diff: -0.0030526519
Sum : 11.8694103360 | Diff: -0.0068931580
Sum : 11.8603055477 | Diff: -0.0091047883
Sum : 11.8495950699 | Diff: -0.0107104778
Sum : 11.8460163474 | Diff: -0.0035787225
Sum : 11.8429129720 | Diff: -0.0031033754
Sum : 11.8416453600 | Diff: -0.0012676120
Sum : 11.8319413066 | Diff: -0.0097040534
Sum : 11.8290250301 | Diff: -0.0029162765
Sum : 11.8269345164 | Diff: -0.0020905137
Sum : 11.8185181618 | Diff: -0.0084163547
Sum : 11.8153899908 | Diff: -0.0031281710
Sum : 11.8134326935 | Diff: -0.0019572973
Sum : 11.8104656935 | Diff: -0.0029670000
Sum : 11.8052468300 | Diff: -0.0052188635
Sum : 11.8028337359 | Diff: -0.0024130940
Sum : 11.7999358177 | Diff: -0.0028979182
Sum : 11.7967809439 | Diff: -0.0031548738
Sum : 11.7938783169 | Diff: -0.0029026270
Sum : 11.7912860513 | Diff: -0.0025922656
Sum : 11.7891896963 | Diff: -0.0020963550
Sum : 11.7872435451 | Diff: -0.0019461513
Sum : 11.7855918407 | Diff: -0.0016517043
Sum : 11.7855918407 | Diff: 0.0000000000
Sum : 11.7774013877 | Diff: -0.0081904531
Sum : 11.7747736573 | Diff: -0.0026277304
Sum : 11.7729796767 | Diff: -0.0017939806
Sum : 11.7706233263 | Diff: -0.0023563504
Sum : 11.7637198567 | Diff: -0.0069034696
Sum : 11.7619385123 | Diff: -0.0017813444
Sum : 11.7577157617 | Diff: -0.0042227507
Sum : 11.7560710907 | Diff: -0.0016446710
Sum : 11.7543773651 | Diff: -0.0016937256
Sum : 11.7473009229 | Diff: -0.0070764422
Sum : 11.7404707074 | Diff: -0.0068302155
Sum : 11.7384132743 | Diff: -0.0020574331
Sum : 11.7328867912 | Diff: -0.0055264831
Sum : 11.7304949164 | Diff: -0.0023918748
Sum : 11.7286146283 | Diff: -0.0018802881
Sum : 11.7235634923 | Diff: -0.0050511360
Sum : 11.7164178491 | Diff: -0.0071456432
Sum : 11.7141738534 | Diff: -0.0022439957
Sum : 11.7118010521 | Diff: -0.0023728013
Sum : 11.7097379565 | Diff: -0.0020630956
Sum : 11.7081921101 | Diff: -0.0015458465
Sum : 11.7063486576 | Diff: -0.0018434525
Sum : 11.7001909614 | Diff: -0.0061576962
Sum : 11.6980202794 | Diff: -0.0021706820
Sum : 11.6917684078 | Diff: -0.0062518716
Sum : 11.6895775795 | Diff: -0.0021908283
Sum : 11.6883717179 | Diff: -0.0012058616
Sum : 11.6861637831 | Diff: -0.0022079349
Sum : 11.6787953377 | Diff: -0.0073684454
Sum : 11.6707055569 | Diff: -0.0080897808
Sum : 11.6659929156 | Diff: -0.0047126412
Sum : 11.6647154689 | Diff: -0.0012774467
Sum : 11.6627113819 | Diff: -0.0020040870
Sum : 11.6604047418 | Diff: -0.0023066401
Sum : 11.6583511829 | Diff: -0.0020535588
Sum : 11.6563454270 | Diff: -0.0020057559
Sum : 11.6545305252 | Diff: -0.0018149018
Sum : 11.6523418427 | Diff: -0.0021886826
Sum : 11.6506683528 | Diff: -0.0016734898
Sum : 11.6486054063 | Diff: -0.0020629466
Sum : 11.6435489058 | Diff: -0.0050565004
Sum : 11.6420381963 | Diff: -0.0015107095
Sum : 11.6406732202 | Diff: -0.0013649762
Sum : 11.6396503448 | Diff: -0.0010228753
Sum : 11.6330285668 | Diff: -0.0066217780
Sum : 11.6310034692 | Diff: -0.0020250976
Sum : 11.6268642843 | Diff: -0.0041391850
Sum : 11.6202303469 | Diff: -0.0066339374
Sum : 11.6188876033 | Diff: -0.0013427436
Sum : 11.6170142293 | Diff: -0.0018733740
Sum : 11.6124086380 | Diff: -0.0046055913
Sum : 11.6114551723 | Diff: -0.0009534657
Sum : 11.6100176573 | Diff: -0.0014375150
Sum : 11.6077311039 | Diff: -0.0022865534
Sum : 11.6068203151 | Diff: -0.0009107888
Sum : 11.6050817668 | Diff: -0.0017385483
Sum : 11.6036202610 | Diff: -0.0014615059
Sum : 11.6023505628 | Diff: -0.0012696981
Sum : 11.6009841859 | Diff: -0.0013663769
Sum : 11.6004421413 | Diff: -0.0005420446
Sum : 11.5946044624 | Diff: -0.0058376789
Sum : 11.5924284756 | Diff: -0.0021759868
Sum : 11.5865295827 | Diff: -0.0058988929
Sum : 11.4219018221 | Diff: -0.1646277606
Sum : 11.4219018221 | Diff: 0.0000000000
Sum : 11.3288109303 | Diff: -0.0930908918
Sum : 11.0395396948 | Diff: -0.2892712355
Sum : 11.0370776653 | Diff: -0.0024620295
Sum : 10.9898546040 | Diff: -0.0472230613
Sum : 10.9868352115 | Diff: -0.0030193925
Sum : 10.9868352115 | Diff: 0.0000000000
Sum : 10.7714023292 | Diff: -0.2154328823
Sum : 10.7760607898 | Diff: 0.0046584606
Sum : 10.6000005901 | Diff: -0.1760601997
Sum : 10.5221169293 | Diff: -0.0778836608
Sum : 10.4441419542 | Diff: -0.0779749751
Sum : 10.2450209558 | Diff: -0.1991209984
Sum : 10.1745893061 | Diff: -0.0704316497
Sum : 10.0463034809 | Diff: -0.1282858253
Sum : 10.0463034809 | Diff: 0.0000000000
Sum : 9.9422343671 | Diff: -0.1040691137
Sum : 9.8503686786 | Diff: -0.0918656886
Sum : 9.7760917544 | Diff: -0.0742769241
Sum : 9.6600676775 | Diff: -0.1160240769
Sum : 9.6043134928 | Diff: -0.0557541847
Sum : 9.5996776223 | Diff: -0.0046358705
Sum : 9.5620033741 | Diff: -0.0376742482
Sum : 9.4383769035 | Diff: -0.1236264706
Sum : 9.3887990117 | Diff: -0.0495778918
Sum : 9.2798755169 | Diff: -0.1089234948
Sum : 9.1745747328 | Diff: -0.1053007841
Sum : 9.0698446631 | Diff: -0.1047300696
Sum : 9.0034964681 | Diff: -0.0663481951
Sum : 8.9435079694 | Diff: -0.0599884987
Sum : 8.8796651959 | Diff: -0.0638427734
Sum : 8.8796651959 | Diff: 0.0000000000
Sum : 8.8077306151 | Diff: -0.0719345808
Sum : 8.7557557225 | Diff: -0.0519748926
Sum : 8.7057325840 | Diff: -0.0500231385
Sum : 8.6652347445 | Diff: -0.0404978395
Sum : 8.6648276448 | Diff: -0.0004070997
Sum : 8.6385378838 | Diff: -0.0262897611
Sum : 8.5690931678 | Diff: -0.0694447160
Sum : 8.5261893868 | Diff: -0.0429037809
Sum : 8.5001837015 | Diff: -0.0260056853
Sum : 8.4400628209 | Diff: -0.0601208806
Sum : 8.3945702910 | Diff: -0.0454925299
Sum : 8.3438656926 | Diff: -0.0507045984
Sum : 8.3269218802 | Diff: -0.0169438124
Sum : 8.2749050856 | Diff: -0.0520167947
Sum : 8.2749050856 | Diff: 0.0000000000
Sum : 8.2532516718 | Diff: -0.0216534138
Sum : 8.2246924043 | Diff: -0.0285592675
Sum : 8.1991914511 | Diff: -0.0255009532
Sum : 8.1603862047 | Diff: -0.0388052464
Sum : 8.1507527232 | Diff: -0.0096334815
Sum : 8.1293073893 | Diff: -0.0214453340
Sum : 8.1293073893 | Diff: 0.0000000000
Sum : 8.1043120027 | Diff: -0.0249953866
Sum : 8.0894255638 | Diff: -0.0148864388
Sum : 8.0606881380 | Diff: -0.0287374258
Sum : 8.0181479454 | Diff: -0.0425401926
Sum : 8.0017864108 | Diff: -0.0163615346
Sum : 7.9832166433 | Diff: -0.0185697675
Sum : 7.8977544904 | Diff: -0.0854621530
Sum : 7.8538556695 | Diff: -0.0438988209
Sum : 7.8417196870 | Diff: -0.0121359825
Sum : 7.8118423820 | Diff: -0.0298773050
Sum : 7.7873620987 | Diff: -0.0244802833
Sum : 7.7873620987 | Diff: 0.0000000000
Sum : 7.7780053020 | Diff: -0.0093567967
Sum : 7.7645290494 | Diff: -0.0134762526
Sum : 7.7460591793 | Diff: -0.0184698701
Sum : 7.7300609946 | Diff: -0.0159981847
Sum : 7.7191495299 | Diff: -0.0109114647
Sum : 7.7016355991 | Diff: -0.0175139308
Sum : 7.6859291792 | Diff: -0.0157064199
Sum : 7.6734666228 | Diff: -0.0124625564
Sum : 7.6575129032 | Diff: -0.0159537196
Sum : 7.6372364759 | Diff: -0.0202764273
Sum : 7.6205829978 | Diff: -0.0166534781
Sum : 7.5585825443 | Diff: -0.0620004535
Sum : 7.5395834446 | Diff: -0.0189990997
Sum : 7.5192582607 | Diff: -0.0203251839
Sum : 7.4255878925 | Diff: -0.0936703682
Sum : 7.4169255495 | Diff: -0.0086623430
Sum : 7.4072975516 | Diff: -0.0096279979
Sum : 7.4072975516 | Diff: 0.0000000000
Sum : 7.4025526643 | Diff: -0.0047448874
Sum : 7.3706754446 | Diff: -0.0318772197
Sum : 7.2888730764 | Diff: -0.0818023682
Sum : 7.2826144099 | Diff: -0.0062586665
Sum : 7.2644823790 | Diff: -0.0181320310
Sum : 7.2539133430 | Diff: -0.0105690360
Sum : 7.2005755305 | Diff: -0.0533378124
Sum : 7.1723821163 | Diff: -0.0281934142
Sum : 7.1485790610 | Diff: -0.0238030553
Sum : 7.1417050958 | Diff: -0.0068739653
Sum : 7.1379105449 | Diff: -0.0037945509
Sum : 7.1302549839 | Diff: -0.0076555610
Sum : 7.1302549839 | Diff: 0.0000000000
Sum : 7.1237046123 | Diff: -0.0065503716
Sum : 7.0131852031 | Diff: -0.1105194092
Sum : 6.9933651090 | Diff: -0.0198200941
Sum : 6.9842666984 | Diff: -0.0090984106
Sum : 6.9783872962 | Diff: -0.0058794022
Sum : 6.9680323601 | Diff: -0.0103549361
Sum : 6.9570946693 | Diff: -0.0109376907
Sum : 6.9462381601 | Diff: -0.0108565092
Sum : 6.9467659593 | Diff: 0.0005277991
Sum : 6.9452118874 | Diff: -0.0015540719
Sum : 6.9239895344 | Diff: -0.0212223530
Sum : 6.8835968375 | Diff: -0.0403926969
Sum : 6.8727457523 | Diff: -0.0108510852
Sum : 6.8717961311 | Diff: -0.0009496212
Sum : 6.8629895449 | Diff: -0.0088065863
Sum : 6.8629895449 | Diff: 0.0000000000
Sum : 6.8602421880 | Diff: -0.0027473569
Sum : 6.8602421880 | Diff: 0.0000000000
Sum : 6.8602421880 | Diff: 0.0000000000
Sum : 6.7850897908 | Diff: -0.0751523972
Sum : 6.7762846947 | Diff: -0.0088050961
Sum : 6.7693638206 | Diff: -0.0069208741
Sum : 6.7479651570 | Diff: -0.0213986635
Sum : 6.7368946671 | Diff: -0.0110704899
Sum : 6.7298272848 | Diff: -0.0070673823
Sum : 6.7278744578 | Diff: -0.0019528270
Sum : 6.7183298469 | Diff: -0.0095446110
Sum : 6.7033484578 | Diff: -0.0149813890
Sum : 6.6934632063 | Diff: -0.0098852515
Sum : 6.6857115030 | Diff: -0.0077517033
Sum : 6.6857115030 | Diff: 0.0000000000
Sum : 6.6857115030 | Diff: 0.0000000000
Sum : 6.6857115030 | Diff: 0.0000000000
Sum : 6.6290901899 | Diff: -0.0566213131
Sum : 6.6132631898 | Diff: -0.0158270001
Sum : 6.6051030755 | Diff: -0.0081601143
Sum : 6.5958893299 | Diff: -0.0092137456
Sum : 6.5958893299 | Diff: 0.0000000000
Sum : 6.5893784165 | Diff: -0.0065109134
Sum : 6.5810363889 | Diff: -0.0083420277
Sum : 6.5692234039 | Diff: -0.0118129849
Sum : 6.5622544885 | Diff: -0.0069689155
Sum : 6.5622544885 | Diff: 0.0000000000
Sum : 6.5577943921 | Diff: -0.0044600964
Sum : 6.5415126085 | Diff: -0.0162817836
Sum : 6.5212729573 | Diff: -0.0202396512
Sum : 6.5142880082 | Diff: -0.0069849491
Sum : 6.4773316979 | Diff: -0.0369563103
Sum : 6.4383510947 | Diff: -0.0389806032
Sum : 6.4070695639 | Diff: -0.0312815309
Sum : 6.4002956748 | Diff: -0.0067738891
Sum : 6.3911383152 | Diff: -0.0091573596
Sum : 6.3822418451 | Diff: -0.0088964701
Sum : 6.3313494921 | Diff: -0.0508923531
Sum : 6.3313494921 | Diff: 0.0000000000
Sum : 6.3232617974 | Diff: -0.0080876946
Sum : 6.3197787404 | Diff: -0.0034830570
Sum : 6.3062630892 | Diff: -0.0135156512
Sum : 6.2996209264 | Diff: -0.0066421628
Sum : 6.2951798439 | Diff: -0.0044410825
Sum : 6.2951798439 | Diff: 0.0000000000
Sum : 6.2745900750 | Diff: -0.0205897689
Sum : 6.2723205090 | Diff: -0.0022695661
Sum : 6.2654512525 | Diff: -0.0068692565
Sum : 6.2492248416 | Diff: -0.0162264109
Sum : 6.2248870730 | Diff: -0.0243377686
Sum : 6.2112007141 | Diff: -0.0136863589
Sum : 6.2112007141 | Diff: 0.0000000000
Sum : 6.1938309669 | Diff: -0.0173697472
Sum : 6.1940276623 | Diff: 0.0001966953
Sum : 6.1940276623 | Diff: 0.0000000000
Sum : 6.1930938363 | Diff: -0.0009338260
Sum : 6.1930938363 | Diff: 0.0000000000
Sum : 6.1925317645 | Diff: -0.0005620718
Sum : 6.1900876760 | Diff: -0.0024440885
Sum : 6.1870291829 | Diff: -0.0030584931
Sum : 6.1820473075 | Diff: -0.0049818754
Sum : 6.1751348972 | Diff: -0.0069124103
Sum : 6.1751348972 | Diff: 0.0000000000
Sum : 6.1690599322 | Diff: -0.0060749650
Sum : 6.1657472849 | Diff: -0.0033126473
Sum : 6.1657472849 | Diff: 0.0000000000
Sum : 6.1657472849 | Diff: 0.0000000000
Sum : 6.1657472849 | Diff: 0.0000000000
Sum : 6.1658837795 | Diff: 0.0001364946
Sum : 6.1615938544 | Diff: -0.0042899251
Sum : 6.1615938544 | Diff: 0.0000000000
Sum : 6.1615938544 | Diff: 0.0000000000
Sum : 6.1605323553 | Diff: -0.0010614991
Sum : 6.1572433710 | Diff: -0.0032889843
Sum : 6.1572433710 | Diff: 0.0000000000
Sum : 6.1572433710 | Diff: 0.0000000000
Sum : 6.1496313214 | Diff: -0.0076120496
Sum : 6.1496313214 | Diff: 0.0000000000
Sum : 6.1496313214 | Diff: 0.0000000000
Sum : 6.1463345289 | Diff: -0.0032967925
Sum : 6.1463345289 | Diff: 0.0000000000
Sum : 6.1463345289 | Diff: 0.0000000000
Sum : 6.1375269294 | Diff: -0.0088075995
Sum : 6.1375269294 | Diff: 0.0000000000
Sum : 6.1379199028 | Diff: 0.0003929734
Sum : 6.1186295152 | Diff: -0.0192903876
Sum : 6.1186295152 | Diff: 0.0000000000
Sum : 6.1186295152 | Diff: 0.0000000000
Sum : 6.1186295152 | Diff: 0.0000000000
Sum : 6.1132671237 | Diff: -0.0053623915
Sum : 6.1132671237 | Diff: 0.0000000000
Sum : 6.1132671237 | Diff: 0.0000000000
Sum : 6.1096296310 | Diff: -0.0036374927
Sum : 6.1096296310 | Diff: 0.0000000000
Sum : 6.1096296310 | Diff: 0.0000000000
Sum : 6.1096296310 | Diff: 0.0000000000
Sum : 6.1068180799 | Diff: -0.0028115511
Sum : 6.1068180799 | Diff: 0.0000000000
Sum : 6.1068180799 | Diff: 0.0000000000
Sum : 6.1068180799 | Diff: 0.0000000000
Sum : 6.1068180799 | Diff: 0.0000000000
Sum : 6.1068180799 | Diff: 0.0000000000
Sum : 6.1068180799 | Diff: 0.0000000000
Sum : 6.1068180799 | Diff: 0.0000000000
Sum : 6.1068180799 | Diff: 0.0000000000
Sum : 6.1068180799 | Diff: 0.0000000000
Sum : 6.1031312346 | Diff: -0.0036868453
Sum : 6.1031312346 | Diff: 0.0000000000
Sum : 6.1031312346 | Diff: 0.0000000000
Sum : 6.0836212039 | Diff: -0.0195100307
Sum : 6.0787530541 | Diff: -0.0048681498
Sum : 6.0768986940 | Diff: -0.0018543601
Sum : 6.0768986940 | Diff: 0.0000000000
Sum : 6.0714147687 | Diff: -0.0054839253
Sum : 6.0714147687 | Diff: 0.0000000000
Sum : 6.0714147687 | Diff: 0.0000000000
Sum : 6.0714147687 | Diff: 0.0000000000
Sum : 6.0462430716 | Diff: -0.0251716971
Sum : 6.0410172343 | Diff: -0.0052258372
Sum : 6.0410172343 | Diff: 0.0000000000
Sum : 6.0410172343 | Diff: 0.0000000000
Sum : 6.0410172343 | Diff: 0.0000000000
Sum : 6.0349444151 | Diff: -0.0060728192
Sum : 6.0105909705 | Diff: -0.0243534446
Sum : 6.0105909705 | Diff: 0.0000000000
Sum : 6.0105909705 | Diff: 0.0000000000
Sum : 6.0022735596 | Diff: -0.0083174109
Sum : 6.0022735596 | Diff: 0.0000000000
Sum : 6.0022735596 | Diff: 0.0000000000
Sum : 6.0022735596 | Diff: 0.0000000000
Sum : 6.0022735596 | Diff: 0.0000000000
Sum : 6.0022735596 | Diff: 0.0000000000
Sum : 6.0022735596 | Diff: 0.0000000000
Sum : 6.0022735596 | Diff: 0.0000000000
Sum : 6.0022735596 | Diff: 0.0000000000
Sum : 6.0022735596 | Diff: 0.0000000000
Sum : 5.9981492758 | Diff: -0.0041242838
Sum : 5.9965022206 | Diff: -0.0016470551
Sum : 5.9965022206 | Diff: 0.0000000000
Sum : 5.9980660677 | Diff: 0.0015638471
Sum : 5.9980660677 | Diff: 0.0000000000
Sum : 5.9947622418 | Diff: -0.0033038259
Sum : 5.9947622418 | Diff: 0.0000000000
Sum : 5.9947622418 | Diff: 0.0000000000
Sum : 5.9946461320 | Diff: -0.0001161098
Sum : 5.9946461320 | Diff: 0.0000000000
Sum : 5.9946461320 | Diff: 0.0000000000
Sum : 5.9928351045 | Diff: -0.0018110275
Sum : 5.9897200465 | Diff: -0.0031150579
Sum : 5.9897200465 | Diff: 0.0000000000
Sum : 5.9881080985 | Diff: -0.0016119480
Sum : 5.9881080985 | Diff: 0.0000000000
Sum : 5.9881080985 | Diff: 0.0000000000
Sum : 5.9881080985 | Diff: 0.0000000000
Sum : 5.9881080985 | Diff: 0.0000000000
