Node: 218 | Prt: 164 ->  60 | 0.0000005081 = 0.2032396793 * 0.0000100000 /   4
Node: 178 | Prt: 107 ->   3 | 0.0000011711 = 0.2342115641 * 0.0000100000 /   2
Node: 183 | Prt:  60 -> 232 | 0.0000022981 = 0.4596225023 * 0.0000100000 /   2
Node:  95 | Prt: 230 ->  85 | 0.0000007393 = 0.2957313061 * 0.0000100000 /   4
Node:  31 | Prt:  29 ->  29 | 0.0000008474 = 0.3389432430 * 0.0000100000 /   4
Node: 240 | Prt:   5 ->   5 | 0.0000028567 = 0.5713473558 * 0.0000100000 /   2
Node: 208 | Prt:  85 -> 164 | 0.0000007421 = 0.2968485355 * 0.0000100000 /   4
Node: 132 | Prt: 144 -> 118 | 0.0000014854 = 0.4456260204 * 0.0000100000 /   3
Node:  29 | Prt:  43 -> 189 | 0.0000007649 = 0.3059729338 * 0.0000100000 /   4
Node: 233 | Prt:  78 ->  64 |   nan = 0.0712486506 * nan /   7
Node:  59 | Prt: 132 -> 248 | 0.0000022731 = 0.4546238184 * 0.0000100000 /   2
Node:  14 | Prt:  99 -> 162 | 0.0000004311 = 0.1724585295 * 0.0000100000 /   4
Node: 141 | Prt:  73 ->  32 | 0.0000007818 = 0.2345395088 * 0.0000100000 /   3
Node: 137 | Prt: 194 -> 194 | 0.0000011930 = 0.3578966856 * 0.0000100000 /   3
Node:  69 | Prt: 189 ->  43 | 0.0000007225 = 0.2889821529 * 0.0000100000 /   4
Node:  55 | Prt: 138 -> 128 | 0.0000013681 = 0.2736186981 * 0.0000100000 /   2
Node:  83 | Prt:  26 ->  73 | 0.0000007170 = 0.2151143551 * 0.0000100000 /   3
Node:  47 | Prt: 216 ->   2 |   nan = -2.9384329319 * nan /   1
Node:  11 | Prt:  43 ->   2 | 0.0000014765 = 0.2953002453 * 0.0000100000 /   2
Node: 105 | Prt: 164 -> 102 | 0.0000011866 = 0.3559944630 * 0.0000100000 /   3
Node:  21 | Prt:  68 ->  24 | 0.0000012781 = 0.2556173801 * 0.0000100000 /   2
Node: 189 | Prt:  32 ->  73 | 0.0000007990 = 0.3195935488 * 0.0000100000 /   4
Node:  13 | Prt:  13 ->   2 | 0.0000006387 = 0.1916184425 * 0.0000100000 /   3
Node: 117 | Prt:  85 ->  85 | 0.0000006094 = 0.2437703609 * 0.0000100000 /   4
Node: 214 | Prt: 164 ->  60 | 0.0000006516 = 0.2606554031 * 0.0000100000 /   4
Node: 149 | Prt:  19 ->  19 | 0.0000006577 = 0.2630695105 * 0.0000100000 /   4
Node:  98 | Prt: 128 -> 128 | 0.0000009751 = 0.2925196886 * 0.0000100000 /   3
Node:  46 | Prt:  13 -> 164 | 0.0000005952 = 0.1785585880 * 0.0000100000 /   3
Node: 174 | Prt:  99 ->  99 | 0.0000005988 = 0.2395035028 * 0.0000100000 /   4
Node: 121 | Prt: 230 -> 110 | 0.0000009109 = 0.2732807398 * 0.0000100000 /   3
Node:  94 | Prt:  43 ->  43 | 0.0000005374 = 0.2149679661 * 0.0000100000 /   4
Node: 100 | Prt: 136 -> 128 |   nan = 0.2189719677 * nan /   3
Node: 111 | Prt: 229 -> 229 | 0.0000009804 = 0.2941170931 * 0.0000100000 /   3
Node:  87 | Prt: 138 -> 138 | 0.0000025332 = 0.5066474676 * 0.0000100000 /   2
Node: 207 | Prt:   5 ->   5 | 0.0000028567 = 0.5713475943 * 0.0000100000 /   2
Node: 225 | Prt: 145 -> 128 |   nan = -0.2205936909 * nan /   4
Node: 244 | Prt:  43 ->  29 | 0.0000005687 = 0.2274760008 * 0.0000100000 /   4
Node: 162 | Prt: 225 -> 225 | 0.0000011387 = 0.3416194916 * 0.0000100000 /   3
Node: 224 | Prt: 224 -> 224 | 0.0000005373 = 0.2149236202 * 0.0000100000 /   4
Node: 106 | Prt:  33 -> 193 |   nan = -1.9990477562 * nan /   1
Node:  25 | Prt:  32 ->  32 | 0.0000008589 = 0.2576801777 * 0.0000100000 /   3
Node: 158 | Prt: 127 -> 193 |   nan = -0.0843880177 * nan /   2
Node:  57 | Prt: 157 -> 194 | 0.0000005510 = 0.1652939320 * 0.0000100000 /   3
Node: 147 | Prt: 134 -> 225 | 0.0000007879 = 0.2363779545 * 0.0000100000 /   3
Node: 231 | Prt: 171 ->   2 |   nan = 0.2843542099 * nan /   4
Node:   5 | Prt: 173 -> 128 |   nan = 0.2101869583 * nan /   5
Node:  15 | Prt:  68 ->  68 | 0.0000007403 = 0.2220883369 * 0.0000100000 /   3
Node: 220 | Prt:  13 ->  26 | 0.0000006595 = 0.2638139725 * 0.0000100000 /   4
Node:  67 | Prt: 230 -> 230 | 0.0000009815 = 0.2944505215 * 0.0000100000 /   3
Node: 177 | Prt: 229 -> 229 | 0.0000010078 = 0.3023509979 * 0.0000100000 /   3
Node: 181 | Prt: 210 ->  13 | 0.0000004520 = 0.1807994843 * 0.0000100000 /   4
Node: 145 | Prt: 240 -> 240 | 0.0000005843 = 0.2337311506 * 0.0000100000 /   4
Node: 217 | Prt:  77 -> 196 | 0.0000005700 = 0.1710041761 * 0.0000100000 /   3
Node: 236 | Prt: 196 -> 236 | 0.0000004785 = 0.1435618401 * 0.0000100000 /   3
Node: 101 | Prt: 179 -> 179 | 0.0000014712 = 0.4413645267 * 0.0000100000 /   3
Node: 122 | Prt:  64 -> 185 | 0.0000008698 = 0.2609317303 * 0.0000100000 /   3
Node: 127 | Prt: 142 -> 193 |   nan = 0.0242288113 * nan /   3
Node: 118 | Prt: 157 -> 118 | 0.0000003722 = 0.1488773823 * 0.0000100000 /   4
Node:  74 | Prt:  25 ->  32 |   nan = 0.0424648523 * nan /   3
Node:  10 | Prt: 122 -> 128 |   nan = 0.0604262352 * nan /   6
Node: 169 | Prt: 193 -> 193 | 0.0000007046 = 0.2818228006 * 0.0000100000 /   4
Node:   3 | Prt:  53 ->  77 | 0.0000004261 = 0.1704251766 * 0.0000100000 /   4
Node: 164 | Prt: 134 -> 141 | 0.0000006073 = 0.1821850538 * 0.0000100000 /   3
Node: 170 | Prt:  64 -> 210 | 0.0000006291 = 0.1887392998 * 0.0000100000 /   3
Node:  33 | Prt:  39 ->  39 | 0.0000010611 = 0.3183174133 * 0.0000100000 /   3
Node:  52 | Prt: 134 -> 188 | 0.0000004109 = 0.0821821690 * 0.0000100000 /   2
Node: 182 | Prt: 107 ->  77 | 0.0000004800 = 0.2399837971 * 0.0000100000 /   5
Node: 238 | Prt:  60 -> 134 | 0.0000006773 = 0.2709232569 * 0.0000100000 /   4
Node:  93 | Prt: 107 -> 188 | 0.0000006329 = 0.1898617744 * 0.0000100000 /   3
Node: 213 | Prt:  64 ->  60 | 0.0000005231 = 0.2092387676 * 0.0000100000 /   4
Node: 230 | Prt:  65 -> 157 | 0.0000007048 = 0.2114353180 * 0.0000100000 /   3
Node:  41 | Prt:  68 ->  68 | 0.0000010363 = 0.3108842373 * 0.0000100000 /   3
Node: 192 | Prt:  85 ->  85 | 0.0000006596 = 0.2638227940 * 0.0000100000 /   4
Node: 156 | Prt: 240 -> 240 | 0.0000004257 = 0.1702927351 * 0.0000100000 /   4
Node: 228 | Prt: 188 -> 107 | 0.0000006442 = 0.2576897144 * 0.0000100000 /   4
Node: 221 | Prt: 183 -> 230 | 0.0000006861 = 0.2058295012 * 0.0000100000 /   3
Node:   4 | Prt: 144 -> 144 | 0.0000023855 = 0.4770911932 * 0.0000100000 /   2
Node: 133 | Prt: 141 -> 141 | 0.0000003727 = 0.1490738392 * 0.0000100000 /   4
Node: 229 | Prt:  75 ->  75 | 0.0000005799 = 0.2319626808 * 0.0000100000 /   4
Node:  26 | Prt:  13 ->  73 | 0.0000004299 = 0.2149358988 * 0.0000100000 /   5
Node:  82 | Prt: 113 -> 113 | 0.0000011781 = 0.3534387350 * 0.0000100000 /   3
Node:  50 | Prt: 177 -> 128 |   nan = -0.0419721603 * nan /   7
Node: 144 | Prt: 205 -> 205 | 0.0000008704 = 0.2611271143 * 0.0000100000 /   3
Node: 107 | Prt: 107 ->  65 | 0.0000004822 = 0.1928975582 * 0.0000100000 /   4
Node:  86 | Prt: 175 -> 128 |   nan = 0.1080229282 * nan /   8
Node:   8 | Prt: 243 -> 138 | 0.0000011639 = 0.2327796221 * 0.0000100000 /   2
Node: 242 | Prt: 220 -> 220 | 0.0000010615 = 0.3184366226 * 0.0000100000 /   3
Node: 210 | Prt:  75 ->  75 | 0.0000008939 = 0.3575644493 * 0.0000100000 /   4
Node: 151 | Prt: 185 ->  13 | 0.0000005252 = 0.2100622654 * 0.0000100000 /   4
Node: 159 | Prt: 157 ->  43 | 0.0000005559 = 0.1667661667 * 0.0000100000 /   3
Node: 134 | Prt: 134 ->  60 | 0.0000004526 = 0.2262879610 * 0.0000100000 /   5
Node: 154 | Prt: 162 -> 240 | 0.0000003673 = 0.1469104290 * 0.0000100000 /   4
Node: 185 | Prt: 164 -> 164 | 0.0000005113 = 0.2045388222 * 0.0000100000 /   4
Node:  62 | Prt: 164 -> 164 | 0.0000005716 = 0.2286490202 * 0.0000100000 /   4
Node:  91 | Prt:  53 -> 107 | 0.0000003253 = 0.1301075220 * 0.0000100000 /   4
Node:  40 | Prt:  77 ->  75 | 0.0000005659 = 0.2263467312 * 0.0000100000 /   4
Node:  70 | Prt:  53 ->  53 | 0.0000006631 = 0.2652359009 * 0.0000100000 /   4
Node: 248 | Prt: 248 -> 248 | 0.0000010192 = 0.3057603836 * 0.0000100000 /   3
Node:  53 | Prt:  53 ->  53 | 0.0000005594 = 0.2237590551 * 0.0000100000 /   4
Node:  58 | Prt: 189 -> 134 | 0.0000005806 = 0.2322556973 * 0.0000100000 /   4
Node: 165 | Prt: 191 -> 128 |   nan = 0.0451021194 * nan /   9
Node: 168 | Prt:  77 ->  39 | 0.0000005418 = 0.1625452042 * 0.0000100000 /   3
Node: 211 | Prt:  29 ->  85 | 0.0000005131 = 0.2052558661 * 0.0000100000 /   4
Node: 219 | Prt:  29 ->  29 | 0.0000007146 = 0.2858461142 * 0.0000100000 /   4
Node: 198 | Prt: 134 ->  53 | 0.0000003417 = 0.1366697550 * 0.0000100000 /   4
Node:  99 | Prt: 210 ->  99 | 0.0000005890 = 0.2356022596 * 0.0000100000 /   4
Node:   0 | Prt: 107 -> 107 | 0.0000003290 = 0.1644980907 * 0.0000100000 /   5
Node: 245 | Prt: 230 ->  29 | 0.0000005113 = 0.2045041323 * 0.0000100000 /   4
Node: 110 | Prt: 230 -> 230 | 0.0000010035 = 0.3010452986 * 0.0000100000 /   3
Node: 123 | Prt: 183 -> 183 | 0.0000008886 = 0.3554267883 * 0.0000100000 /   4
Node:  61 | Prt: 130 -> 193 |   nan = 0.1038753986 * nan /   4
Node: 115 | Prt: 220 -> 220 | 0.0000011735 = 0.3520456553 * 0.0000100000 /   3
Node:  64 | Prt:  13 ->  13 | 0.0000004205 = 0.2102493048 * 0.0000100000 /   5
Node: 239 | Prt:  20 ->  20 | 0.0000022291 = 0.4458154440 * 0.0000100000 /   2
Node:  54 | Prt: 221 ->   2 |   nan = 0.2094297409 * nan /   5
Node:  45 | Prt:  43 -> 168 | 0.0000005999 = 0.2399747372 * 0.0000100000 /   4
Node: 249 | Prt: 132 -> 193 |   nan = 0.1599875689 * nan /   5
Node:  34 | Prt:  57 -> 193 |   nan = 0.1347115040 * nan /   6
Node: 212 | Prt: 134 -> 134 | 0.0000005789 = 0.2315689325 * 0.0000100000 /   4
Node:  20 | Prt:  13 ->  64 | 0.0000002758 = 0.1379246712 * 0.0000100000 /   5
Node: 129 | Prt:  65 ->  43 | 0.0000005627 = 0.1687952280 * 0.0000100000 /   3
Node:  44 | Prt: 134 -> 134 | 0.0000005164 = 0.2065629959 * 0.0000100000 /   4
Node:  30 | Prt:  26 ->   5 | 0.0000015322 = 0.3064372540 * 0.0000100000 /   2
Node: 143 | Prt:  64 ->  26 | 0.0000005288 = 0.2115297318 * 0.0000100000 /   4
Node: 191 | Prt: 125 -> 125 | 0.0000017715 = 0.3543043137 * 0.0000100000 /   2
Node: 139 | Prt: 118 ->   4 | 0.0000005350 = 0.1604967117 * 0.0000100000 /   3
Node:  77 | Prt:  64 -> 111 | 0.0000004412 = 0.1323494911 * 0.0000100000 /   3
Node: 172 | Prt:  59 ->  59 | 0.0000022013 = 0.4402611256 * 0.0000100000 /   2
Node:  28 | Prt:  59 ->  59 | 0.0000022013 = 0.4402611256 * 0.0000100000 /   2
Node: 148 | Prt: 240 ->  24 | 0.0000005186 = 0.1555720568 * 0.0000100000 /   3
Node: 193 | Prt: 224 -> 220 | 0.0000007637 = 0.2290998697 * 0.0000100000 /   3
Node: 125 | Prt: 168 -> 185 | 0.0000004312 = 0.1293638945 * 0.0000100000 /   3
Node: 160 | Prt: 111 -> 180 | 0.0000007321 = 0.1464117765 * 0.0000100000 /   2
Node: 188 | Prt:  60 -> 102 | 0.0000004123 = 0.1649259329 * 0.0000100000 /   4
Node:  79 | Prt: 140 -> 128 |   nan = 0.1054791212 * nan /  10
Node: 153 | Prt:  39 ->  39 | 0.0000004354 = 0.1741777658 * 0.0000100000 /   4
Node: 157 | Prt:  26 ->  64 | 0.0000007378 = 0.2951140404 * 0.0000100000 /   4
Node: 216 | Prt: 186 -> 186 | 0.0000007763 = 0.3105155230 * 0.0000100000 /   4
Node:   1 | Prt:   3 ->   3 | 0.0000009541 = 0.2862235308 * 0.0000100000 /   3
Node: 135 | Prt:  32 ->  32 | 0.0000005386 = 0.2154204845 * 0.0000100000 /   4
Node: 128 | Prt:  19 ->  19 | 0.0000003749 = 0.1499502659 * 0.0000100000 /   4
Node:  89 | Prt:  13 ->  13 | 0.0000006277 = 0.2510955334 * 0.0000100000 /   4
Node:   2 | Prt: 111 -> 111 | 0.0000007943 = 0.2382892370 * 0.0000100000 /   3
Node: 114 | Prt: 243 -> 243 | 0.0000022274 = 0.4454780817 * 0.0000100000 /   2
Node: 194 | Prt: 248 -> 248 | 0.0000008797 = 0.2639236450 * 0.0000100000 /   3
Node: 226 | Prt: 113 -> 113 | 0.0000011122 = 0.3336708546 * 0.0000100000 /   3
Node: 205 | Prt:   4 -> 179 | 0.0000009718 = 0.2915387154 * 0.0000100000 /   3
Node:  84 | Prt:  11 ->  11 | 0.0000018664 = 0.3732702732 * 0.0000100000 /   2
Node: 232 | Prt: 117 -> 117 | 0.0000018788 = 0.3757580519 * 0.0000100000 /   2
Node: 155 | Prt: 236 ->  65 | 0.0000007687 = 0.3074908257 * 0.0000100000 /   4
Node: 186 | Prt:  24 ->  24 | 0.0000005125 = 0.2050107718 * 0.0000100000 /   4
Node: 234 | Prt:  60 ->  60 | 0.0000003794 = 0.1896865368 * 0.0000100000 /   5
Node:  68 | Prt: 186 -> 186 | 0.0000003870 = 0.1548045874 * 0.0000100000 /   4
Node: 175 | Prt:  19 -> 157 | 0.0000007002 = 0.2100728750 * 0.0000100000 /   3
Node: 116 | Prt:  65 -> 236 | 0.0000009144 = 0.2743315697 * 0.0000100000 /   3
Node: 203 | Prt:  54 ->   2 |   nan = 0.1389011145 * nan /   6
Node: 241 | Prt:  99 -> 134 | 0.0000003790 = 0.1516004801 * 0.0000100000 /   4
Node: 167 | Prt: 162 -> 162 | 0.0000005809 = 0.2323594093 * 0.0000100000 /   4
Node:  71 | Prt:  20 ->  20 | 0.0000022291 = 0.4458154440 * 0.0000100000 /   2
